Num,y
348622,1044.08691406
348623,26465.8007812
348624,367160.25
348625,26096.8320312
348626,37.3589439392
348627,129013.039062
348628,81602.25
348629,94526.21875
348630,98701.53125
348631,3183.44873047
348632,1549.47387695
348633,49703.390625
348634,291090.28125
348635,28578.546875
348636,1934.87927246
348637,134376.390625
348638,89663.6875
348639,460962.34375
348640,482625.8125
348641,2372.64404297
348642,115802.132812
348643,127324.445312
348644,1068.83862305
348645,27556.1582031
348646,8540.95214844
348647,105405.148438
348648,5823.80615234
348649,20342.0488281
348650,2554.53637695
348651,21400.296875
348652,20867.8710938
348653,158667.359375
348654,9573.94238281
348655,30099.6132812
348656,11473.7548828
348657,2798.73168945
348658,44764.2265625
348659,1033.74389648
348660,499.579437256
348661,10993.2958984
348662,2690.40649414
348663,15948.2285156
348664,1527710.25
348665,99152.0078125
348666,265060.28125
348667,1073317.375
348668,88947.59375
348669,34106.203125
348670,30076.6640625
348671,2158.86328125
348672,43506.3671875
348673,226.195556641
348674,392.303588867
348675,2306117.75
348676,380936.03125
348677,7493.16259766
348678,50013.0898438
348679,351593.0
348680,16363.1865234
348681,436.316040039
348682,24715.8515625
348683,1966.9486084
348684,1826.77868652
348685,10403.6474609
348686,83810.359375
348687,6841.09814453
348688,94041.7109375
348689,12670.2841797
348690,6888.63427734
348691,164160.453125
348692,15677.5791016
348693,134079.359375
348694,94094.375
348695,96593.6328125
348696,109544.273438
348697,110857.648438
348698,1745.99694824
348699,15939.0820312
348700,12267.1035156
348701,85095.078125
348702,8488.42480469
348703,43009.171875
348704,84186.1171875
348705,103628.90625
348706,112266.382812
348707,33879.5703125
348708,7347.88085938
348709,46404.6914062
348710,88492.3671875
348711,24773.6367188
348712,5629.203125
348713,108447.398438
348714,112613.78125
348715,131366.296875
348716,10417.8671875
348717,197.108856201
348718,1994.49230957
348719,3474.16894531
348720,10419.7324219
348721,111432.171875
348722,2074.89208984
348723,1622.00244141
348724,12426.8662109
348725,11199.8056641
348726,9098.56933594
348727,56537.125
348728,241890.515625
348729,23334.0175781
348730,958469.0
348731,322803.78125
348732,26438.0625
348733,145403.8125
348734,1055.28601074
348735,2540131.25
348736,41898.5664062
348737,63691.6835938
348738,738208.4375
348739,583629.4375
348740,568292.5
348741,1383519.875
348742,103274.085938
348743,126139.9375
348744,1828.95483398
348745,10245.5068359
348746,355.480010986
348747,13544.7910156
348748,103697.890625
348749,2100.86547852
348750,31847.3164062
348751,386349.6875
348752,110352.570312
348753,559375.125
348754,261032.015625
348755,108039.21875
348756,49996.234375
348757,801.86920166
348758,18131.4765625
348759,181969.109375
348760,680862.3125
348761,316755.75
348762,15576.4912109
348763,25380.4238281
348764,196.60244751
348765,11708.5439453
348766,87941.25
348767,2617.48046875
348768,267.634979248
348769,99856.640625
348770,12088.1181641
348771,1465.73815918
348772,813.434020996
348773,101577.75
348774,708567.875
348775,2267.09179688
348776,20629.7167969
348777,316.910339355
348778,17636.6386719
348779,104192.289062
348780,128385.898438
348781,105827.570312
348782,262685.1875
348783,372194.46875
348784,13152.6025391
348785,8653.34765625
348786,13941.1962891
348787,2887.02636719
348788,3009.86352539
348789,87877.984375
348790,15577.2119141
348791,621975.0625
348792,430946.4375
348793,342.981781006
348794,388.919769287
348795,31.3368034363
348796,2051.35107422
348797,1810.30041504
348798,86318.515625
348799,8671.88378906
348800,1211.26330566
348801,2544.31201172
348802,1588.56994629
348803,648.045715332
348804,1862.71801758
348805,1827.89172363
348806,789184.9375
348807,29648.7753906
348808,1209392.125
348809,332345.625
348810,22860.28125
348811,13616.4394531
348812,1459.68029785
348813,26672.2695312
348814,32826.7421875
348815,106144.921875
348816,169686.90625
348817,87340.8203125
348818,244.4296875
348819,277774.09375
348820,19469.9140625
348821,335.857391357
348822,60.6030845642
348823,17933.3789062
348824,105.568840027
348825,56.9890174866
348826,442.352294922
348827,139.166107178
348828,120791.476562
348829,697966.0
348830,292520.125
348831,587150.375
348832,29070.0898438
348833,1810.97570801
348834,25779.703125
348835,99673.3671875
348836,485247.15625
348837,139.96446228
348838,397.334289551
348839,257.78314209
348840,3775.52612305
348841,36688.6054688
348842,15971.5566406
348843,383.815551758
348844,5469.03710938
348845,183811.890625
348846,541127.75
348847,16876.7265625
349519,1188.81604004
349520,26421.4003906
349521,291921.25
349522,38525.4335938
349523,22.2047977448
349524,127399.320312
349525,74076.3125
349526,66394.9765625
349527,76203.59375
349528,768.76385498
349529,584.631286621
349530,59561.4570312
349531,260172.640625
349532,26917.7734375
349533,1435.13500977
349534,214208.078125
349535,83854.484375
349536,547847.3125
349537,551642.8125
349538,1313.86010742
349539,96995.3515625
349540,71084.1796875
349541,1232.37988281
349542,28775.2304688
349543,11401.1113281
349544,144839.875
349545,6784.63183594
349546,18751.8378906
349547,3294.23999023
349548,28600.1347656
349549,16915.9804688
349550,161872.125
349551,13164.0830078
349552,27950.5136719
349553,11787.2890625
349554,1145.81799316
349555,45265.7109375
349556,1019.32733154
349557,271.67980957
349558,18122.5253906
349559,14773.8037109
349560,17174.4238281
349561,1642562.0
349562,71570.0
349563,258158.3125
349564,1135377.125
349565,90917.3203125
349566,41755.0507812
349567,26925.6992188
349568,224.970291138
349569,49270.4179688
349570,195.046234131
349571,336.349578857
349572,2415489.25
349573,445926.625
349574,4900.68505859
349575,50144.4375
349576,369580.875
349577,19978.8515625
349578,706.18145752
349579,35706.4296875
349580,1198.70715332
349581,1371.41259766
349582,9065.46289062
349583,102109.742188
349584,10188.7138672
349585,123559.179688
349586,8409.01269531
349587,7310.75927734
349588,149273.390625
349589,15474.0546875
349590,131850.515625
349591,102752.234375
349592,127498.070312
349593,56707.0742188
349594,82678.109375
349595,3533.52416992
349596,18856.9570312
349597,11138.2265625
349598,80686.0625
349599,11324.4726562
349600,46514.7070312
349601,68553.046875
349602,179778.015625
349603,103710.625
349604,27087.9472656
349605,7135.16113281
349606,82510.7421875
349607,82007.421875
349608,40612.6953125
349609,6310.71777344
349610,104219.390625
349611,139421.703125
349612,138542.390625
349613,10035.7421875
349614,341.982574463
349615,1347.22412109
349616,2251.10205078
349617,12103.9550781
349618,160711.40625
349619,815.08392334
349620,417.00402832
349621,13452.4570312
349622,4694.56689453
349623,4438.70703125
349624,77455.8203125
349625,201186.578125
349626,35070.53125
349627,1177004.125
349628,342807.40625
349629,37949.0625
349630,123107.320312
349631,636.613891602
349632,2264311.25
349633,66694.265625
349634,41054.0195312
349635,975896.4375
349636,637485.4375
349637,617511.375
349638,1731997.5
349639,120980.679688
349640,133962.296875
349641,1477.45532227
349642,13721.3876953
349643,186.202514648
349644,15456.1416016
349645,61908.2304688
349646,2080.8605957
349647,25480.7675781
349648,518662.71875
349649,140251.640625
349650,639279.9375
349651,317084.40625
349652,107850.820312
349653,81303.4453125
349654,370.495880127
349655,19760.2363281
349656,249784.75
349657,627265.8125
349658,281268.5
349659,20935.5976562
349660,31698.1777344
349661,308.889160156
349662,10980.0566406
349663,118166.40625
349664,1274.16625977
349665,444.07800293
349666,60701.671875
349667,13803.6953125
349668,1255.1607666
349669,556.069335938
349670,124399.398438
349671,976831.4375
349672,1309.41577148
349673,12821.6259766
349674,205.622833252
349675,33532.5546875
349676,70654.3125
349677,136323.3125
349678,117883.289062
349679,328636.09375
349680,455739.8125
349681,19084.7324219
349682,8334.55371094
349683,14001.2802734
349684,1070.6907959
349685,924.13684082
349686,79221.265625
349687,16597.2988281
349688,616989.25
349689,603434.9375
349690,311.263275146
349691,309.070739746
349692,21.3406333923
349693,1383.57458496
349694,1376.16821289
349695,81950.2890625
349696,12068.1347656
349697,313.460083008
349698,2845.32128906
349699,301.926696777
349700,226.287948608
349701,1056.57885742
349702,1327.23364258
349703,1003087.0
349704,32319.84375
349705,1309837.125
349706,418324.375
349707,27085.1777344
349708,12117.9296875
349709,469.674591064
349710,36065.3125
349711,66294.6484375
349712,63700.4726562
349713,156145.78125
349714,89246.4296875
349715,16.346321106
349716,332883.71875
349717,18880.9667969
349718,262.966918945
349719,47.5777359009
349720,22631.5410156
349721,52.3108291626
349722,60.9031181335
349723,204.072265625
349724,175.413269043
349725,138518.234375
349726,707644.375
349727,282331.09375
349728,588249.3125
349729,28343.7304688
349730,1010.08026123
349731,30656.625
349732,107473.898438
349733,544519.875
349734,116.666542053
349735,224.795852661
349736,146.919754028
349737,4628.05273438
349738,57058.0703125
349739,16247.5078125
349740,349.545471191
349741,5019.58496094
349742,165351.859375
349743,558081.1875
349744,21491.9980469
349745,26873.3496094
349746,291921.25
349747,38906.9335938
349748,22.2047977448
349749,128821.226562
349750,74073.484375
349751,66394.9765625
349752,76203.59375
349753,768.76385498
349754,584.631286621
349755,59561.4570312
349756,260172.640625
349757,27460.4511719
349758,1642562.0
349759,1188.81604004
349760,1431.08349609
349761,214233.46875
349762,83854.484375
349763,547847.3125
349764,551642.8125
349765,1313.86010742
349766,96995.3515625
349767,71084.1796875
349768,1323.57299805
349769,29842.9589844
349770,11401.1113281
349771,144839.875
349772,6784.63183594
349773,17202.7441406
349774,10980.0566406
349775,29138.0
349776,16915.9804688
349777,161873.09375
349778,13164.0830078
349779,28446.3691406
349780,11787.2890625
349781,1145.81799316
349782,45449.6796875
349783,1026.61083984
349784,278.963348389
349785,18122.5253906
349786,14773.8037109
349787,4902.24755859
349788,3294.23999023
349789,71570.0
349790,258158.3125
349791,1221504.625
349792,90917.3203125
349793,41832.6054688
349794,27119.78125
349795,232.253768921
349796,49635.7070312
349797,195.046234131
349798,336.349578857
349799,2540589.25
349800,445926.625
349801,16011.9199219
349802,132009.734375
349803,369580.875
349804,19978.8515625
349805,706.18145752
349806,41385.9296875
349807,1286.3782959
349808,1371.41259766
349809,9065.46289062
349810,102109.742188
349811,10188.7138672
349812,123559.179688
349813,8409.01269531
349814,7827.32128906
349815,149274.34375
349816,636.613891602
349817,50144.4375
349818,102911.453125
349819,127657.289062
349820,56707.0742188
349821,3533.52416992
349822,18908.9921875
349823,11138.2265625
349824,80686.0625
349825,11324.4726562
349826,68553.046875
349827,179768.25
349828,103710.625
349829,46514.7070312
349830,12103.9550781
349831,160711.40625
349832,7135.16113281
349833,82510.7421875
349834,82007.421875
349835,40612.6953125
349836,6310.71777344
349837,104219.390625
349838,139421.703125
349839,138815.703125
349840,10035.7421875
349841,341.982574463
349842,1347.22412109
349843,2251.10205078
349844,19072.4863281
349845,34404.1523438
349846,815.08392334
349847,417.00402832
349848,13356.1015625
349849,4694.56689453
349850,4439.16552734
349851,77455.8203125
349852,201186.578125
349853,35246.9882812
349854,1177004.125
349855,342807.40625
349856,42780.9375
349857,123436.21875
349858,2389410.75
349859,66694.265625
349860,41054.0195312
349861,978231.5625
349862,641121.3125
349863,621147.25
349864,1731997.5
349865,121081.414062
349866,133962.296875
349867,1477.45532227
349868,13721.3876953
349869,186.202514648
349870,15456.1416016
349871,61908.2304688
349872,2080.8605957
349873,25758.7832031
349874,518667.6875
349875,140251.640625
349876,639279.9375
349877,317084.40625
349878,107850.820312
349879,81303.4453125
349880,377.779327393
349881,19760.2363281
349882,249784.75
349883,629678.4375
349884,281268.5
349885,21473.4628906
349886,32094.4609375
349887,311.740722656
349888,36699.90625
349889,1274.16625977
349890,60701.671875
349891,118267.140625
349892,13761.0771484
349893,1255.1607666
349894,556.069335938
349895,124500.140625
349896,979166.5625
349897,82678.109375
349898,1309.41577148
349899,12873.6591797
349900,205.622833252
349901,444.07800293
349902,70654.3125
349903,136725.828125
349904,117883.289062
349905,328636.09375
349906,455742.6875
349907,19067.5800781
349908,8334.55371094
349909,14001.2802734
349910,1161.88366699
349911,924.13684082
349912,79221.046875
349913,16789.5878906
